ID,texto,likesCount,locationname,TimeStamp,ID,SavedItems,Número de Posts #menysviolencia,Número de Posts #mesigualtat
100,5 min into a back rub,2,Barcelona,17/12/2019,0,0,1,0
101,El lenguaje inclusivo es posible. ,3,Barcelona,19/12/2019,0,0,0,1
102,Mujer semi-desnuda ,3,Barcelona,23/12/2019,0,0,1,0
103,A oartur de 5 de diciembre recogeremos datos sobre este tipo de violencia. Ayudanos a hacer visible lo invisible!,10,Barcelona,10/12/2019,1,0,0,1
104,Participar es muy fácil!,31,Barcelona,12/12/2019,0,0,1,0
105,Lo contrario al feminismo es la ignorancia,9,Barcelona,12/12/2019,1,0,0,1
106,Reinvicidamos la liberdad de ser nosotras mismas,7,Barcelona,12/12/2019,0,0,0,1
107,la Culpa no era mia,5,Barcelona,12/12/2019,0,0,0,1
108,Ninguna Mujer se emborracha para ser violada,12,Barcelona,13/12/2019,2,0,1,1
109,Micromasclisme?,13,Barcelona,12/12/2019,1,0,1,0
110,Quedan 7 dies! ,10,Barcelona,12/12/2019,0,0,0,0
111,Haremos visible lo invisible,9,Barcelona,7/12/2019,3,0,1,1
112,👉🏻 Harta de no estar valorada igual que un hombre?,14,Barcelona,5/12/2019,0,0,0,1
113,👉🏻 Farta de no estar valorada igual que un home?,41,Barcelona,5/12/2019,1,0,0,1
114,"🔅Presentem la nostra iniciativa TECH PER COMBATRE LA VIOLÈNCIA DE GÈNERE, amb el suport del Departament de Treball de la Generalitat.",189,Barcelona,16/12/2019,1,0,0,0
115,"(1/3) En marxa @equalproyecto , web app per detectar i visibilitzar pràctiques sexistes a Instagram 💪",7,Barcelona,5/12/2019,0,0,1,0
116,(2/3)Sabies que....la #violenciamasclista s'ha disparat entre adolescents fins a un 45% en dos anys?👫,6,Barcelona,5/12/2019,0,0,1,0
117,"(3/3) Utilitza els hashtags #menysviolencia per visibilitzar publicacions sexistes o #mesigualtat per les que donen 💜 Fes visible l’invisible, més info a la BIO 👆",10,Barcelona,5/12/2019,0,0,1,1
118,"Memes de mal gust, ús sexual d'imatges, ser picada per maca, per lletja, ser jutjada a les Xarxes Socials per tenir relacions o per no ternir-ne ….et sona? 🤔🤔 A @equalproyecto volem assenyalar aquestes publicacions i et necessitem!",9,Barcelona,9/12/2019,0,0,1,1
119,Les Xarxes Socials poden ser fantàstiques per relacionar-nos….o també un amagatall pels que llançen insults i judicis masclistes des de l’anonimat. Sabies que la violencia masclista s'ha disparat entre adolescents fins a un 45% en dos anys?👫👁,7,Barcelona,10/12/2019,0,0,1,1
120,Et ridiculitza a les xarxes socials. Et controla el mòbil i t’obliga a ensenyar-li les teves contrasenyes. La #violenciamasclista no comença mai amb cops de puny. Segueix a @equalproyecto i assenya-la conductes masclistes a #Instagram.🧐📵,11,Barcelona,11/12/2019,0,0,0,0
121,La igualtat de gènere és una lluita que encara persisteix. Col·labora amb #EQUAL i assenyala la #violènciamasclista a Instagram. Més info aquí 📲👇 Fes visible l’invisible! 🙅‍♀❌ Envía a @equalproyecto per DM les publicacions masclistes i sexistes #menysviolencia. 🙆‍♀✅ Comenta i comparteix amb el hashtag #mesigualtat les que + t’empoderen!,13,Barcelona,12/12/2019,0,0,0,1
122,Falten 6 dies! Participa a la campanya @equalproyecto i ajudan's a posar focus a la #violenciamasclista a Instagram! 📲 🙅‍♀❌ Envía un DM a @equalproyecto o comenta amb el hashtag #menysviolencia les publicacions masclistes i sexistes 🙆‍♀✅ Comenta i comparteix-nos amb el hashtag #mesigualtat les que t’empoderen! Fes visible l'invisible! ▫,8,Barcelona,13/12/2019,0,0,1,0
123,"Has viscut assetjament a les xarxes socials o coneixes algú que n'hagi patit? Col·labora amb #EQUAL i reporta la #violenciamasclista a Instagram. Fins el 19 de desembre recullen dades... com funciona? 🙅‍♀❌ Envía a @equalproyecto les publicacions masclistes i sexistes per demanar #menysviolencia. 🙆‍♀✅ Envía les publicacions que + t’empoderen a @equalproyecto, o comenta i comparteix amb el hashtag #mesigualtat!",10,Barcelona,16/12/2019,0,0,1,0
124,"Falten 2 dies! Participa a la campanya @equalproyecto i ajudan's a posar focus a la #violenciamasclista a Instagram! 📲 🙅‍♀❌ Envía a @equalproyecto les publicacions masclistes i sexistes per demanar #menysviolencia. 🙆‍♀✅ Envía les publicacions que + t’empoderen a @equalproyecto, o comenta i comparteix amb el hashtag #mesigualtat!",14,Barcelona,17/12/2019,1,0,1,0
125,"Fes visible l’invisible! Col·labora amb @equalproyecto 🙅‍♀❌ Envía a @equalproyecto les publicacions masclistes i sexistes per demanar #menysviolencia. 🙆‍♀✅ Envía les publicacions que + t’empoderen a @equalproyecto, o comenta i comparteix amb el hashtag #mesigualtat!",9,Barcelona,18/12/2019,0,0,1,0
126,"Tens referents a XXSS? Un compte d'un/a professional, artista, activista, persona a la que admires o t'inspira per demanar #mésigualtat i #menysviolència? 🙋‍♀💪 ☝Fes-nos-ho saber: Segueix a @equalproyecto i descobreix com! Últims dies per participar a la campanya! ▫",13,Barcelona,18/12/2019,0,0,0,1
127,"La igualtat de gènere és una lluita que encara persisteix. Col·labora amb @equalproyecto i assenyala la #violènciamasclista a Instagram. Més info aquí 📲👇 Fes visible l’invisible : 🙅‍♀❌ Envía a @equalproyecto les publicacions masclistes i sexistes per demanar #menysviolencia 🙆‍♀✅ Envía les publicacions que + t’empoderen a @equalproyecto, o comenta i comparteix amb el hashtag #mesigualtat!",10,Barcelona,20/12/2019,0,0,0,1
128,"Et ridiculitza a les xarxes socials. Et controla el mòbil i t’obliga a ensenyar-li les teves contrasenyes. La #violenciamasclista no comença mai amb cops de puny. Hi ha molts tipus d'assetjament, també a les XXSS. Segueix a @equalproyecto i assenya-la conductes masclistes a #Instagram.",9,Barcelona,21/12/2019,0,0,1,0
129,"¡ÚLTIMS DIES! Participa a la campanya @equalproyecto i ajudan's a posar focus a la #violenciamasclista a Instagram! 📲 Assenyala aquestes publicacions amb #menysviolencia i #mesigualtat, et necessitem! Troba més info al seu perfil i fes visible l'invisible-!🙆‍♀✅ ",11,Barcelona,20/12/2019,0,0,1,0
130,"‼️Hoy ha arrancado la campaña Equal‼️ Un proyecto que busca detectar 🔍publicaciones y prácticas machistas usando #menysviolencia , pero también darle valor a los gestos que promueven la igualdad y el empoderamiento femenino con #mesigualtat en Instagram.",31,Barcelona,5/12/2019,2,0,1,0
131,"En marcha la campaña EQUAL que busca hacer visible la violencia machista/ sexismo en Instagram, pero también promueve la igualdad en esta red social. 👉🏻 Nos ayudas a detectar imágenes? 📌 Si encuentras alguna de estas prácticas en tu timeline envíala por DM a @equalproyecto. . 🔍 . 📌 Perfil privado? menciona @equalproyecto .",29,Barcelona,12/12/2019,0,0,1,0
132,"Detrás de todo proyecto están las personas, aquí os comparto -en crudo como la vida misma- dos videos donde parte del equipo @equalproyecto os invita a conocer la campaña. ‼️Tenéis hasta mañana 19 de diciembre a las 00:00h para participar‼️ Ojalá os animéis! 🙏💪",72,Barcelona,18/12/2019,3,0,0,1
133,"Sabies que 1 de cada 10 dones ha sigut víctima de violència masclista a través de les xarxes socials? El projecte equal pretén conscienciar sobre l'ús, masclista en moltes ocasions, que es dóna a les xarxes socials i assenyalar aquelles actituds que són clarament violència masclista amb el hashtag #menysviolència I promoure la igualtat amb d'altres com #mésigualtat. Anima't a participar-hi!",42,Barcelona,9/12/2019,0,0,1,0
134,Campaña de @equalproyecto para visibilizar la violencia machista en Instagram. Solo tienes que etiquetar las fotos que consideres que representen esta condición con #mesigualtat y #menysviolencia. PARTICIPA,55,Barcelona,11/12/2019,3,0,1,0
135,▶️▶️ Construïm App EQUAL.Ens ajudes a etiquetar imatges a Instagram? ▶️ trobes publicacio sexista ➖ #meysviolencia ▶️ publicacio igualitaria ➕ #mesigualtat PARTICIPA! 👉🏻 http://projecte-equal.com #violenciamasclista #igualdad #feminisme #feminimo @equalproyecto,20,Barcelona,6/12/2019,0,0,1,0
136,#repte #feminista ens ajudes a etiquetar imatges a Instagram? ▶️ publicacio sexista ➖ #menysviolencia ▶️ publicacio igualitaria ➕ #mesigualtat PARTICIPA! 👉🏻 http://projecte-equal.com insta: @equalproyecto. #violenciamasclista #igualtat #niunamas #dones,7,Barcelona,11/12/2019,0,0,1,0
137,Projecte #Equal cerquem imatges a Instagram? Per crear una App contra el sexisme a instagram ▶️ publicacio sexista ➖ #meysviolencia ▶️ publicacio igualitaria ➕ #mesigualtat. PARTICIPA! 👉🏻 http://projecte-equal.com @equalproyecto #dones #feminisme #NoesNo #igualtat #woman #empoderadas #accioFeminista #feminista,20,Barcelona,17/12/2019,0,0,1,0
